PERSON_ID,SCHOOL_ID,FIRST_NAME,LAST_NAME,BIRTH_DATE,ADDRESS,CITY,REGION,POSTAL_CODE,COUNTRY
1,1,Jessica,Martin,1966-11-25,591 Memorial Dr,Clinton,NY,13323,USA
2,1,Thomas,Thompson,1971-05-14,55 Brooksby Village Way,Clinton,NY,13323,USA
3,1,Sarah,Garcia,1975-09-07,137 Teaticket Hwy,Clinton,NY,13323,USA
4,1,Daniel,Lewis,1979-05-19,677 Timpany Blvd,Clinton,NY,13323,USA
5,1,Lisa,Hall,1982-04-23,337 Russell St,Clinton,NY,13323,USA
6,1,Paul,Hill,1990-04-29,1775 Washington St,Clinton,NY,13323,USA
7,1,Steven,Green,2007-01-23,280 Washington Street,Clinton,NY,13323,USA
8,1,Deborah,Collins,2005-10-31,742 Main Street,Clinton,NY,13323,USA
9,1,Timothy,Morris,2005-12-02,200 Otis Street,Clinton,NY,13323,USA
10,1,Laura,Cook,2005-12-03,180 North King Street,Clinton,NY,13323,USA
11,1,Helen,Cox,2007-05-16,300 Colony Place,Clinton,NY,13323,USA
12,1,Nicholas,Howard,2006-02-14,301 Falls Blvd,Clinton,NY,13323,USA
13,1,Emma,Hughes,2005-10-04,262 Swansea Mall Dr,Clinton,NY,13323,USA
14,1,Raymond,Flores,2006-02-27,333 Main Street,Clinton,NY,13323,USA
15,1,Carolyn,Griffin ,2006-01-13,2055 Niagara Falls Blvd,Clinton,NY,13323,USA
16,1,Tyler,Patterson,2006-02-28,101 Sanford Farm Shpg Center,Clinton,NY,13323,USA
17,1,Diane,King,2006-12-17,297 Grant Avenue,Clinton,NY,13323,USA
18,1,Zachary,Foster,2007-01-01,30 Catskill,Clinton,NY,13323,USA
19,1,Jeremy,Gonzales,2006-10-14,161 Centereach Mall,Clinton,NY,13323,USA
20,1,Frances,Lee,2007-04-11,3018 East Ave,Clinton,NY,13323,USA
21,1,Cheryl,White,2006-07-15,5033 Transit Road,Clinton,NY,13323,USA
22,1,Jesse,Cooper,2006-06-14,25737 US Rt 11,Clinton,NY,13323,USA
23,1,Billy,Jones,2005-11-04,2400 Route 9,Clinton,NY,13323,USA
24,1,Julia,Carter,2006-11-13,10401 Bennett Road,Clinton,NY,13323,USA
25,1,Gabriel,Williams,2006-12-09,1549 Rt 9,Clinton,NY,13323,USA
26,1,Denise,Baker,2007-02-20,5360 Southwestern Blvd,Clinton,NY,13323,USA
27,1,Abigail,Lopez,2006-04-20,135 Fairgrounds Memorial Pkwy,Clinton,NY,13323,USA
28,1,Sophia,Washington,2005-10-08,579 Troy-Schenectady Road,Clinton,NY,13323,USA
29,1,Johnny,Foster,2005-11-25,7155 State Rt 12 S,Clinton,NY,13323,USA
30,1,Joseph,Harris,2007-06-01,66-4 Parkhurst Rd,Clinton,NY,13413,USA
31,1,Karen,Robinson,2006-05-12,374 William S Canning Blvd,Clinton,NY,13413,USA
32,1,Nancy,Rodriguez,2006-07-10,121 Worcester Rd,Clinton,NY,13413,USA
33,1,Kenneth,Nelson,2006-03-21,11 Jungle Road,Clinton,NY,13413,USA
34,1,Joshua,Mitchell,2005-10-11,301 Massachusetts Ave,Clinton,NY,13413,USA
35,1,Michelle,Perez,2006-06-14,780 Lynnway,Clinton,NY,13413,USA
36,1,Carol,Turner,2005-12-08,70 Pleasant Valley Street,Clinton,NY,13413,USA
37,1,Cynthia,Bailey,2007-06-17,555 East Main St,Clinton,NY,13413,USA
38,1,Larry,Brooks,2005-12-04,450 Highland Ave,Clinton,NY,13413,USA
